Gene,Treated_Mean,Control_Mean,Treated_Std,Control_Std,Log2_Fold_Change,Fold_Change,T_Statistic,T_P_Value,U_Statistic,U_P_Value,Cohens_D,T_P_Adjusted,U_P_Adjusted,T_Significant,U_Significant,Significant,Regulation
Gene_0875,3.0772971891493532,2.0486883262449616,0.21516085546873953,0.25072589117964983,1.0286088629043917,2.0400561525174576,6.961585209197332,4.367914821956178e-05,36.0,0.0021645021645021645,4.402893077280667,0.04367914821956178,0.21645021645021645,True,False,True,Upregulated
Gene_0341,1.0654855046809617,2.5449236446898587,0.43623519322785026,0.2545200054416025,-1.479438140008897,2.788401173721208,-6.550014572228916,0.00017355787312871136,0.0,0.0021645021645021645,-4.1425929511073685,0.08677893656435567,0.21645021645021645,False,False,False,Downregulated
Gene_0928,3.0206287284559195,2.4000125897558164,0.21150288606315845,0.22316185037011452,0.620616138700103,1.5375316821305105,4.513489979876972,0.001127651917691526,36.0,0.0021645021645021645,2.8545817065517554,0.2874439172818384,0.21645021645021645,False,False,False,Upregulated
Gene_0506,3.158528501107518,2.5156692878990548,0.1769463185734073,0.26052517531471625,0.6428592132084634,1.561420605039225,4.564376405898288,0.0014372195864091918,36.0,0.0021645021645021645,2.8867651081943584,0.2874439172818384,0.21645021645021645,False,False,False,Upregulated
Gene_0887,3.2087206827718755,2.6613949318596366,0.16688083851862107,0.21059036203565473,0.5473257509122389,1.4613743098626442,4.55480469226443,0.0011968961344710164,36.0,0.0021645021645021645,2.880711424955583,0.2874439172818384,0.21645021645021645,False,False,False,Not_Changed
Gene_0236,1.6537045289800565,2.8598947743441347,0.5610011247116972,0.19037486140332058,-1.2061902453640783,2.3072754459456624,-4.552699678487347,0.0036674621987527987,0.0,0.0021645021645021645,-2.8793800973472603,0.5239231712503998,0.21645021645021645,False,False,False,Downregulated
Gene_0973,3.112102024155597,1.848781792843779,0.29874199309794897,0.5960936823681988,1.2633202313118177,2.400475533002674,4.236685244006369,0.003439546919743939,35.0,0.004329004329004329,2.6795150200572717,0.5239231712503998,0.30921459492888065,False,False,False,Upregulated
Gene_0629,3.181714049743056,1.7621114674219107,0.1974595016840869,0.7014968178883114,1.4196025823211451,2.6751180961087764,4.355805932510705,0.005214766957519517,36.0,0.0021645021645021645,2.7548535584815,0.5794185508355019,0.21645021645021645,False,False,False,Upregulated
Gene_0241,2.0459181834943156,2.7976899192657054,0.3528053447158398,0.3060555352225174,-0.7517717357713898,1.6838594647049014,-3.599164916008081,0.0050105652959274724,2.0,0.008658008658008658,-2.276311761830831,0.5794185508355019,0.36075036075036077,False,False,False,Downregulated
Gene_0188,2.187037420184764,2.798225067778707,0.3234012984882686,0.19792232038638694,-0.6111876475939431,1.5275161650974531,-3.604442103808878,0.0065447247228681,1.0,0.004329004329004329,-2.279649348449026,0.6544724722868099,0.30921459492888065,False,False,False,Downregulated
Gene_0162,3.3271586745749406,1.8716405294535858,0.21432361837568242,0.9157441251716804,1.4555181451213548,2.7425504223612003,3.4605754862856157,0.0152639399017047,36.0,0.0021645021645021645,2.1886601103214653,0.6677123764987054,0.21645021645021645,False,False,False,Upregulated
Gene_0149,2.1276316487374025,2.7256871202535247,0.30192287070501733,0.34629426222372145,-0.5980554715161222,1.5136749925406272,-2.910756486133129,0.015831358735601764,5.0,0.04112554112554113,-1.840924042057801,0.6677123764987054,0.5140692640692641,False,False,False,Downregulated
Gene_0880,1.8070964036890695,2.8244734740098614,0.6017255377181164,0.2972944280031837,-1.0173770703207918,2.0242353976700547,-3.389533950529417,0.010887431579473278,4.0,0.025974025974025976,-2.1437294980282897,0.6677123764987054,0.48100048100048104,False,False,False,Downregulated
Gene_0535,1.6843814135839024,2.9148369401007255,0.7449425773918987,0.48387987831770435,-1.230455526516823,2.3464106534508242,-3.0973524797064655,0.013523287967086227,3.0,0.015151515151515152,-1.958937710448578,0.6677123764987054,0.4208754208754209,False,False,False,Downregulated
Gene_0077,1.5785169910257564,2.6090157546272033,0.5849939364746277,0.24018620292445067,-1.0304987636014469,2.042730335108642,-3.6437854858172862,0.009039300303776285,2.0,0.008658008658008658,-2.304532288049158,0.6677123764987054,0.36075036075036077,False,False,False,Downregulated
Gene_0485,1.6410177914958135,2.716773725140295,0.6181623026783807,0.37382188895930196,-1.0757559336444813,2.1078262272205373,-3.3298038633929194,0.00998507484473674,2.0,0.008658008658008658,-2.1059528739899576,0.6677123764987054,0.36075036075036077,False,False,False,Downregulated
Gene_0812,3.0721770438399645,2.2104422882268255,0.4701165145500284,0.40739382603369834,0.861734755613139,1.8172220997226092,3.0975245904303503,0.011561098117584677,33.0,0.015151515151515152,1.9590465628280211,0.6677123764987054,0.4208754208754209,False,False,False,Upregulated
Gene_0815,2.6551544434178695,2.21564698710973,0.13881780246457798,0.27591989778980053,0.4395074563081396,1.3561412546314398,3.1817944336135637,0.014408280116288056,33.0,0.015151515151515152,2.012343491332855,0.6677123764987054,0.4208754208754209,False,False,False,Not_Changed
Gene_0700,2.7452146037074905,2.257897181926188,0.16146290578065312,0.3054149048076357,0.48731742178130233,1.4018358470935965,3.154193958684611,0.014448598313647405,31.0,0.04112554112554113,1.994887418277282,0.6677123764987054,0.5140692640692641,False,False,False,Not_Changed
Gene_0218,2.043930043116358,2.8830706906168566,0.4950243695108762,0.17968366035463426,-0.8391406475004985,1.7889842020934985,-3.5630108962049234,0.010963245572605671,1.0,0.004329004329004329,-2.2534459520010692,0.6677123764987054,0.30921459492888065,False,False,False,Downregulated
Gene_0420,2.1246196419271457,2.8662276708403707,0.43699252953127454,0.3591342013370921,-0.741608028913225,1.6720384558726014,-2.931738699529052,0.015567031405763081,3.0,0.015151515151515152,-1.854194358994364,0.6677123764987054,0.4208754208754209,False,False,False,Downregulated
Gene_0518,2.9163766241576385,2.0927556981168176,0.284617019058266,0.5272922179169557,0.8236209260408209,1.769842434798477,3.0735379487612318,0.01602509703596893,32.0,0.025974025974025976,1.943876078609478,0.6677123764987054,0.48100048100048104,False,False,False,Upregulated
Gene_0929,3.0462438790058566,2.04796432494914,0.268631811929192,0.547945843465717,0.9982795540567166,1.9976163770344126,3.65786652277438,0.007572732548447655,36.0,0.0021645021645021645,2.3134379177694426,0.6677123764987054,0.21645021645021645,False,False,False,Upregulated
Gene_0031,3.113901186083082,2.387101322557525,0.2753547987436762,0.4571970882700605,0.726799863525557,1.6549640329462154,3.0450340419486936,0.015472284464802564,34.0,0.008658008658008658,1.9258486250613158,0.6677123764987054,0.36075036075036077,False,False,False,Upregulated
