,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,SCFA_Treated_1,SCFA_Treated_2,SCFA_Treated_3,SCFA_Treated_4,SCFA_Treated_5,SCFA_Treated_6
Gene_0000,5.993428306022466,4.72347139765763,6.295377076201385,8.046059712816051,4.531693250553328,4.531726086101639,2.771837283533825,3.7381383325244197,3.1158796328515104,3.9040083625177244,4.571699378577622,6.674308972662769
Gene_0001,8.158425631014783,6.534869458305818,4.061051228130096,6.085120087171929,4.0731646143750755,4.068540492859486,4.357681922588595,1.8287485864608146,7.280135692990321,3.325819732769921,4.882559145790743,5.893073013881423
Gene_0002,5.483924543132068,1.1734395106844042,1.5501643349739345,3.8754249415180544,2.9743377593311524,5.628494665190548,5.399220836805566,7.1883590950429515,5.958006286785518,3.277380840605784,9.357124347983323,5.388666926676467
Gene_0003,3.1839518489575784,2.175392597329417,7.931297537843108,4.548447399026928,5.1350564093758475,2.1505036275730864,4.7053195467569875,6.927850846111141,5.498901891860145,5.798456385878654,9.984367997201375,4.449757143489907
Gene_0004,3.9112345509496347,5.2218451794197325,2.6980128451553944,5.751396036691344,3.79872262016239,4.416612500413446,4.364478211965208,5.233157024024927,7.143031871162077,1.9869319396192018,1.0688882170469896,3.825769458759705
Gene_0005,3.796586775541206,8.704556369017876,4.973005550524132,2.8845781420881993,6.645089824206378,2.5583127000579555,1.7321540818814256,4.150337304948723,6.004999392258581,3.218502272895473,2.146346846437315,5.1386743234306955
Gene_0006,5.4177271900095105,1.0806597522404489,2.343627902203139,5.393722471738247,6.476933159990821,5.342736562379941,6.7250869692303406,1.6100531229667747,6.640464796611968,6.634612407476652,6.908170204313256,7.4369604297433725
Gene_0007,4.768703435223519,4.3977926088214225,2.0429560192651453,3.5603115832105825,4.078722458080425,7.114244452437831,9.404027849319231,4.287815902761889,5.219143160155716,4.167123133503949,5.003953689511621,8.065746711272624
Gene_0008,5.687236579136923,1.473919689274532,5.64816793878959,4.229835439167367,3.6461559993880828,6.2233525776817356,2.3099710321386624,3.277900655668849,7.754361873009122,7.04007301380418,4.273736706365844,6.70880400224144
Gene_0009,7.061999044991902,6.862560238232398,3.3215649535547227,4.381575248297571,5.662526862807128,6.951090254244718,5.682431684984066,8.000549218001975,5.149019187653545,7.051264227745165,10.28402382098524,6.196198310094933
Gene_0010,4.04165152430942,4.628682046672366,2.7873300519879436,2.6075867518386584,6.625051644788396,7.712480057141645,5.098656331589687,6.444893970441958,4.26943828359223,9.775935411049463,5.360142075391963,4.454133359548974
Gene_0011,4.855979756839332,7.007065795784048,5.723272050095268,3.7097604907897512,5.722791211016828,8.076073132931938,3.3286219899599274,7.194440383212877,6.734374825655477,4.005291257171813,6.152902690244845,1.9828880635742872
Gene_0012,4.928347921780097,8.129287311628012,-0.23949020817948874,6.643805008750448,5.174094136476342,4.401985299068265,5.369941150146312,5.905512704153389,8.414659619118446,3.458362394542621,2.4432947423953513,3.2091440781499165
